loc,stand,pitch_type,pitches,total_pitches,pitch_prob,hits,onbase,hrs,strikeouts,bbs,pitch_probability,BA,OBP,HR Rate,K Rate,BB Rate,Type
Road,L,CH | FF,1,112,0.008928571428571428,0,0,0,0,0,0.89,0,0,0,0,0,conditionals
Road,L,CH | SI,8,80,0.1,0,0,0,2,0,10,0,0,0,25,0,conditionals
Road,L,CU | CH,1,25,0.04,0,0,0,0,0,4,0,0,0,0,0,conditionals
Road,L,CU | CU,10,54,0.18518518518518517,0,0,0,1,0,18.52,0,0,0,10,0,conditionals
Road,L,CU | FC,10,130,0.07692307692307693,1,2,0,0,1,7.69,10,20,0,0,10,conditionals
Road,L,CU | FF,11,112,0.09821428571428571,2,2,0,1,0,9.82,18.18,18.18,0,9.09,0,conditionals
Road,L,CU | SI,4,80,0.05,0,0,0,1,0,5,0,0,0,25,0,conditionals
Road,L,FC | CH,3,25,0.12,0,0,0,0,0,12,0,0,0,0,0,conditionals
Road,L,FC | CU,19,54,0.35185185185185186,2,2,0,2,0,35.19,10.53,10.53,0,10.53,0,conditionals
Road,L,FC | FC,37,130,0.2846153846153846,3,5,0,3,2,28.46,8.11,13.51,0,8.11,5.41,conditionals
Road,L,FC | FF,28,112,0.25,3,3,0,3,0,25,10.71,10.71,0,10.71,0,conditionals
Road,L,FC | SI,22,80,0.275,2,2,0,4,0,27.5,9.09,9.09,0,18.18,0,conditionals
Road,L,FF | CH,2,25,0.08,0,0,0,0,0,8,0,0,0,0,0,conditionals
Road,L,FF | CU,5,54,0.09259259259259259,1,1,0,0,0,9.26,20,20,0,0,0,conditionals
Road,L,FF | FC,24,130,0.18461538461538463,4,4,1,0,0,18.46,16.67,16.67,4.17,0,0,conditionals
Road,L,FF | FF,38,112,0.3392857142857143,1,3,0,1,2,33.93,2.63,7.89,0,2.63,5.26,conditionals
Road,L,FF | SI,6,80,0.075,0,0,0,0,0,7.5,0,0,0,0,0,conditionals
Road,L,SI | CH,8,25,0.32,0,0,0,0,0,32,0,0,0,0,0,conditionals
Road,L,SI | CU,7,54,0.12962962962962962,0,0,0,0,0,12.96,0,0,0,0,0,conditionals
Road,L,SI | FC,12,130,0.09230769230769231,0,1,0,0,1,9.23,0,8.33,0,0,8.33,conditionals
Road,L,SI | FF,9,112,0.08035714285714286,0,2,0,0,2,8.04,0,22.22,0,0,22.22,conditionals
Road,L,SI | SI,23,80,0.2875,1,1,0,1,0,28.75,4.35,4.35,0,4.35,0,conditionals
Road,R,CH | CH,17,114,0.14912280701754385,1,1,0,0,0,14.91,5.88,5.88,0,0,0,conditionals
